,Time Period,Avg Price (c/kwh)
0,0,79.99918967004315
1,1,93.92989609280185
2,2,96.71397745615945
3,3,96.71407562932221
4,4,96.71399069898278
5,5,96.71407447219336
6,6,96.71400142362492
7,7,109.07582692303725
8,8,106.02192385945628
9,9,155.41204000000002
10,10,155.41135521036912
11,11,123.01679999999999
12,12,122.93999986216963
13,13,122.93999691621357
14,14,122.94000000000005
15,15,122.93984
16,16,122.9375122659966
17,17,122.94008000000001
18,18,155.41204
19,19,155.41184000000004
20,20,155.41196000000002
21,21,122.94004000000001
22,22,122.93997911440778
23,23,122.94004000000001
