,Time Period,Avg Price (c/kwh)
0,0,96.71399392181881
1,1,96.71400673474312
2,2,96.71400326765139
3,3,96.0580113027409
4,4,96.71400925846525
5,5,96.71399935706614
6,6,96.71399965110157
7,7,155.40841110338943
8,8,146.92847197036508
9,9,142.15884809116267
10,10,120.96866548837764
11,11,105.24240945816068
12,12,122.94
13,13,122.94
14,14,122.94
15,15,122.94
16,16,122.93422987330287
17,17,122.93746110082905
18,18,144.70771878757967
19,19,142.0192996353631
20,20,155.4119984980872
21,21,122.94000125
22,22,122.93999921289429
23,23,122.93999874999999
