,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.4367306999021481,0.0,-0.11,0.04,0.0,0.49232808749214535,0.05609231129774514
1,agent2,0,-0.3743000000000002,0.0,-0.04,0.01,0.0,0.4917711165826494,-0.06436420345931433
2,agent3,0,-0.2765763945028289,0.0,-0.23,0.07,0.0,0.48879873614173674,0.11797598286034733
3,agent4,0,-0.6328863288632885,0.0,-0.09,0.06,0.0,0.4895300883205339,0.23793041573258986
4,agent5,0,-0.5005709314338531,0.0,-0.04,0.1,0.0,0.4884948172422073,0.006585755433328705
5,agent1,1,-0.32588592642591996,0.0,-0.1,0.42,0.0,0.006240267059799076,0.11185026587199526
6,agent2,1,-0.42877017981362364,0.0,-0.05,0.38,0.0,0.009274342894994236,0.21272098510061851
7,agent3,1,-0.28474164133738644,0.0,-0.16,0.24,0.0,0.004894583276499609,0.32616899326368787
8,agent4,1,-0.16857168571685738,0.0,-0.23,0.6,0.0,0.004415251520833274,0.00667131809856053
9,agent5,1,-0.36155224466753416,0.0,-0.04,0.48,0.0,0.004885525249999134,0.06352634056860394
10,agent1,2,-0.3835183347564211,0.0,-0.09,0.31,0.0,0.16841361392731227,0.12092094247709483
11,agent2,2,-0.3575439614036012,0.0,-0.15,0.41,0.0,0.16758489302109997,0.08339194038785541
12,agent3,2,-0.37856542020341033,0.0,-0.16,0.3,0.0,0.1991189429657513,0.18729874281262351
13,agent4,2,-0.31217906517445626,0.0,-0.1,0.19,0.0,0.1358420457572521,0.13049818914829045
14,agent5,2,-0.4379716482121446,0.0,-0.04,0.36,0.0,0.16895588975978043,0.07307989810128904
15,agent1,3,-0.39254020415940083,0.0,-0.09,0.4,0.0,0.0,0.2326387251774374
16,agent2,3,-0.24474604927188254,0.0,-0.04,0.36,0.0,0.0,0.03287214084203158
17,agent3,3,-0.24012876405437675,0.0,-0.28,0.36,0.0,0.0,0.2537541151460838
18,agent4,3,-0.25499814975265206,0.0,-0.1,0.3,0.0,0.0,0.13566143896189847
19,agent5,3,-0.1796788565563382,0.0,-0.04,0.42,0.0,0.0,-0.07529550459618087
20,agent1,4,-0.33858338583385855,0.0,-0.12,0.4,0.0,0.1722286006373624,0.01769534375485335
21,agent2,4,-0.353190121604971,0.0,-0.12,0.24,0.0,0.1721109358390822,0.13728848056509008
22,agent3,4,-0.24223802322962573,0.0,-0.21,0.26,0.0,0.17342761928425723,0.12052192040647329
23,agent4,4,-0.45001231982259476,0.0,-0.09,0.25,0.0,0.1741923709899652,0.20946791318348895
24,agent5,4,-0.2616402508270379,0.0,-0.04,0.21,0.0,0.17404376275977612,-0.029902377316983413
25,agent1,5,-0.34701573269866776,0.0,-0.18,0.32,0.02,0.06138645199649029,0.28381655572044173
26,agent2,5,-0.3420927127050742,0.0,-0.13,0.34,0.02,0.05893507222446859,0.20560983523997806
27,agent3,5,-0.30768750000000034,0.0,-0.05,0.25,0.02,0.059505048052189036,0.1379098376861139
28,agent4,5,-0.29228166174670595,0.0,-0.11,0.48,0.0,0.05930505403234604,-0.02901466545614749
29,agent5,5,-0.21777142857142845,0.0,-0.04,0.26,0.01,0.057648260681067265,0.006383545780317676
30,agent1,6,-0.24747837255864935,0.0,-0.8,0.37,0.18,0.42694301073693863,0.5823466565247333
31,agent2,6,-0.35406442402070154,0.0,-1.01,0.37,0.18,0.45144612180592275,0.7709790664434648
32,agent3,6,-0.3300117764290245,0.0,-0.09,0.3,0.13,0.42995137660155874,-0.1917228453978953
33,agent4,6,-0.23162553648068682,0.0,-0.22,0.27,0.03,0.40938396211637695,-0.11979926522995105
34,agent5,6,-0.3428114911794439,0.0,-0.68,0.23,0.1,0.4283035466418598,0.5756509411218036
35,agent1,7,-0.04,0.0,-0.13,0.25,0.23,0.0,0.05400190537438926
36,agent2,7,-0.09,0.0,-0.56,0.32,0.23,0.29854968893520123,0.12076072818426037
37,agent3,7,-0.02,0.0,-0.49,0.34,0.17,0.0,0.32787419169545257
38,agent4,7,-0.1,0.0,-1.68,0.25,0.03,0.124529688732121,2.413032708537163
39,agent5,7,-0.03,0.0,-0.53,0.31,0.13,0.9866496887083986,-1.0372457157093355
40,agent1,8,-0.1,0.0,-0.71,0.04,0.33,0.0,0.7374049384479748
41,agent2,8,-0.01,0.0,-0.04,0.12,0.33,0.0,-0.2674289529266606
42,agent3,8,-0.05,0.0,-0.16,0.02,0.24,0.0,-0.00109012880819237
43,agent4,8,-0.1,0.0,-0.61,0.1,0.05,0.0,0.5307850538796264
44,agent5,8,-0.08,0.0,-0.4,0.06,0.19,0.0,0.3324279181303389
45,agent1,9,-0.05,0.0,-0.66,0.1,0.38,0.0,0.5210027412554397
46,agent2,9,-0.02,0.0,-0.08,0.02,0.38,0.0,-0.0854746038744193
47,agent3,9,-0.02,0.0,-0.03,0.06,0.27,0.0,-0.18273291885317205
48,agent4,9,-0.04,0.0,-1.02,0.11,0.05,0.0,0.9388118072931992
49,agent5,9,-0.02,0.0,-0.42,0.08,0.22,0.0,0.3072288964122201
50,agent1,10,-0.09,0.0,-0.19,0.05,0.4,0.0,0.24038423743154574
51,agent2,10,-0.08,0.0,-0.11,0.02,0.4,0.0,0.1269477198662482
52,agent3,10,-0.01,0.0,-0.2,0.02,0.29,0.0,0.2174257095503092
53,agent4,10,-0.03,0.0,-0.92,0.04,0.06,0.0,0.9734245625580675
54,agent5,10,-0.05,0.0,-0.15,0.02,0.23,0.0,0.13786455041517998
55,agent1,11,-0.1270726180933935,0.0,-0.08,0.09,0.4,0.0,0.15109406706438278
56,agent2,11,-0.14026994121900405,0.0,-0.15756748530475106,0.08,0.4,0.0,0.26005372853910946
57,agent3,11,-0.04,0.0,-0.04,0.01,0.28,0.0,0.07210656547110889
58,agent4,11,-0.16268946130567177,0.0,-0.34752728320837223,0.03,0.06,0.0,0.5757621044829824
