,Time Period,Avg Price (c/kwh)
0,0,96.71400380156456
1,1,95.24616225821475
2,2,96.71400009198123
3,3,96.71399476193747
4,4,96.71399841924793
5,5,96.71400415911236
6,6,96.71400002959794
7,7,103.55565903372646
8,8,155.412
9,9,155.41200375000003
10,10,138.03779096717477
11,11,105.04743881283538
12,12,101.06281805510169
13,13,99.30603379784456
14,14,122.93999999999998
15,15,110.79755622165524
16,16,122.94000124999998
17,17,122.94001000000002
18,18,155.41199992802015
19,19,138.70693404902786
20,20,135.30441440503466
21,21,122.93841608169735
22,22,122.94000125
23,23,122.93578667067399
