,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.4367306999021481,0.0,-0.09,0.03,0.0,0.48374459984030777,0.04503432733874904
1,agent2,0,-0.31924103600028864,0.0,-0.12,0.08,0.0,0.4818578377295581,-0.07047908023234235
2,agent3,0,-0.5648298845229791,0.0,-0.29,0.07,0.0,0.49448085530016517,0.45423554718192616
3,agent4,0,-0.42801879971077406,0.0,-0.09,0.09,0.0,0.5050160807584823,-0.004231455049971938
4,agent5,0,-0.3813577663949211,0.0,-0.04,0.02,0.0,0.5049685010632902,-0.07924102979462679
5,agent1,1,-0.26927822574935883,0.0,-0.17,0.41,0.0,0.0,0.17334181941166757
6,agent2,1,-0.3535723535723535,0.0,-0.14,0.31,0.0,0.041604713375859304,0.224339823930075
7,agent3,1,-0.2834062802925712,0.0,-0.2,0.54,0.0,0.03950914199208083,0.05905913882741541
8,agent4,1,-0.271699921091196,0.0,-0.09,0.38,0.0,0.09609180424825714,0.012728278596328066
9,agent5,1,-0.3777077780470073,0.0,-0.04,0.35,0.0,0.039228450805869564,0.13772525353109918
10,agent1,2,-0.38572691418468635,0.0,-0.08,0.28,0.0,0.07515099600658448,0.20470954102950428
11,agent2,2,-0.25327782876622545,0.0,-0.04,0.35,0.0,0.07297733541729634,-0.018691898188770456
12,agent3,2,-0.29859298592985933,0.0,-0.27,0.31,0.0,0.0753877456834281,0.2872494357631085
13,agent4,2,-0.2395023328149299,0.0,-0.14,0.28,0.0,0.0764707805075456,0.10347151791423845
14,agent5,2,-0.22759085655579817,0.0,-0.04,0.38,0.0,0.07456781709195412,-0.07671060117462405
15,agent1,3,-0.17477971977466455,0.0,-0.08,0.39,0.0,0.16662480246032346,-0.18291724322112624
16,agent2,3,-0.17369807497467077,0.0,-0.04,0.25,0.0,0.1681727974274451,-0.14942973180763086
17,agent3,3,-0.2502399999999995,0.0,-0.56,0.29,0.0,0.16299347855844304,0.45576770929806765
18,agent4,3,-0.3350250253753803,0.0,-0.18,0.26,0.0,0.1656286652097858,0.22542128061602065
19,agent5,3,-0.4511337808552248,0.0,-0.04,0.26,0.0,0.1715039116994942,0.16980459848337592
20,agent1,4,-0.41589869175742705,0.0,-0.15,0.18,0.0,0.22720054882594773,0.2828411781302498
21,agent2,4,-0.4346407340398033,0.0,-0.25,0.19,0.0,0.2254281523056682,0.4191099953875862
22,agent3,4,-0.4131022951816384,0.0,-0.15,0.24,0.0,0.2250848202417008,0.20489971541898178
23,agent4,4,-0.3113572069274824,0.0,-0.1,0.33,0.0,0.2534760050060179,-0.035728978942710016
24,agent5,4,-0.22836377921822787,0.0,-0.04,0.42,0.0,0.20202674893941913,-0.277344126254669
25,agent1,5,-0.38828520150106066,0.0,-0.22,0.4,0.02,0.11135459498236144,0.32653980066045757
26,agent2,5,-0.24570931428119497,0.0,-0.44,0.41,0.02,0.11123092399624274,0.34332983155334207
27,agent3,5,-0.1721814396844528,0.0,-0.04,0.39,0.01,0.11093376984767392,-0.15766485377389047
28,agent4,5,-0.264578432586356,0.0,-0.1,0.32,0.0,0.11287595681732068,0.007679341422677524
29,agent5,5,-0.46236514864530964,0.0,-0.06,0.26,0.01,0.10682975087831587,0.23875620536187978
30,agent1,6,-0.2706150589001683,0.0,-0.54,0.38,0.17,0.23658224094740005,0.3797348125239445
31,agent2,6,-0.41262075021954586,0.0,-1.01,0.28,0.17,0.23690005436595357,1.1612026824025512
32,agent3,6,-0.2147174278771266,0.0,-0.04,0.19,0.12,0.23526407834200008,-0.10554989259832145
33,agent4,6,-0.45345087714108206,0.0,-0.09,0.26,0.02,0.23790011972559982,0.14268261801505738
34,agent5,6,-0.24092552054166883,0.0,-0.05,0.45,0.1,0.23541838905981707,-0.2361840100977328
35,agent1,7,-0.06,0.0,-0.14,0.29,0.26,0.0,-0.06888795558351496
36,agent2,7,-0.08,0.0,-0.18,0.4,0.26,0.0,-0.12383511236543465
37,agent3,7,-0.03,0.0,-0.53,0.23,0.18,0.0,0.3369836080005546
38,agent4,7,-0.02,0.0,-1.34,0.47,0.04,0.0,1.2191338499522528
39,agent5,7,-0.07,0.0,-0.53,0.25,0.15,0.0,0.42593626199196005
40,agent1,8,-0.1,0.0,-0.42,0.06,0.33,0.0,0.5141564363715678
41,agent2,8,-0.06,0.0,-0.29,0.08,0.33,0.0,0.31388823358643103
42,agent3,8,-0.02,0.0,-0.15,0.04,0.23,0.0,0.11344136091689136
43,agent4,8,-0.05,0.0,-0.39,0.02,0.05,0.0,0.5247146674228171
44,agent5,8,0.0,0.0,-0.1,0.06,0.19,0.0,0.04838573106931501
45,agent1,9,0.0,0.0,-0.21,0.11,0.38,0.0,0.17019806956244132
46,agent2,9,-0.06,0.0,-1.35,0.07,0.38,0.009849999999883785,1.6891989537626597
47,agent3,9,-0.02,0.0,-0.85,0.02,0.27,0.39385000000022596,0.3504314846028064
48,agent4,9,-0.01,0.0,-1.03,0.05,0.05,0.3938499999997549,0.5652341217784318
49,agent5,9,-0.04,0.0,-0.06,0.01,0.22,1.271950000000496,-1.859276117788001
50,agent1,10,-0.03000013968353965,-5.7980287238024175e-12,-0.08000000069942961,0.0,0.4,1.3471787944685997e-11,0.1292751232292787
51,agent2,10,-0.1759815536759578,0.0,-0.15,0.06,0.4,0.0,0.33228754611273326
52,agent3,10,-0.1860488352149077,0.0,-0.15,0.02,0.29,0.0,0.358647967157943
53,agent4,10,-0.04,0.0,-0.58,0.01,0.06,0.0,0.8524112795592558
54,agent5,10,-0.1,0.0,-0.04,0.04,0.23,0.0,0.11848201351112964
55,agent1,11,-0.06,0.0,-0.07,0.03,0.33,0.0,0.11033697947088178
56,agent2,11,-0.07367706979153478,0.0,-0.52,0.17,0.33,0.0,0.5383442448221901
57,agent3,11,-0.04,0.0,-0.06,0.17,0.24,0.0,-0.03356536498793633
58,agent4,11,-0.06919209930218276,0.0,-0.2864930655606266,0.04,0.05,0.0,0.3977162153822563
59,agent5,11,-0.3628643010082655,0.0,-0.13,0.1,0.19,0.0,0.4610334096878119
60,agent1,12,-0.02,0.0,-0.12,0.05,0.04,0.22635259406905134,-0.14851094569844736
61,agent2,12,-0.07,0.0,-0.35,0.07,0.04,0.20465759774309727,0.26272192609710865
62,agent3,12,-0.09,0.0,-0.04,0.05,0.03,0.20473397847167724,-0.14712889372054322
63,agent4,12,-0.1,0.0,-0.84,0.07,0.01,0.1776243898004517,0.8973516615658532
64,agent5,12,-0.06,0.0,-0.05,0.33,0.02,0.21678783133034082,-0.3850040001283385
65,agent1,13,-0.04,0.0,-0.1,0.03,0.05,0.7651264763733523,-0.7964524739784028
66,agent2,13,-0.07,0.0,-0.06,0.08,0.05,0.7651792747676911,-0.8496535888243386
67,agent3,13,-0.08,0.0,-0.04,0.09,0.04,0.756840785555134,-0.8645919819739523
68,agent4,13,-0.06,0.0,-3.86,0.09,0.01,0.777163016665837,4.198553982336035
69,agent5,13,-0.03,0.0,-0.05,0.09,0.03,0.7658649368654746,-0.9204905577949757
70,agent1,14,-0.03,0.0,-0.06,0.04,0.19,0.3787450315595754,-0.3883326474117856
71,agent2,14,-0.02,0.0,-0.04,0.07,0.19,0.3690456180041714,-0.4417664467493557
72,agent3,14,-0.06,0.0,-0.04,0.08,0.13,0.3862999526316736,-0.4281362932778491
73,agent4,14,0.0,0.0,-2.42,0.06,0.03,0.3704077174635403,2.2924071330252573
74,agent5,14,-0.06,0.0,-0.09,0.03,0.11,0.3854998475094418,-0.3321100079531277
75,agent1,15,-0.06,0.0,-0.06,0.03,0.11,0.0,0.07649183777403676
