,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.12166484302668215,0.0,-0.0891325,0.07,0.0,0.23926555628930796,-0.05515572544874438
1,agent2,0,-0.3388974213887325,0.0,-0.04,0.05,0.0,0.2166550513051952,0.1479964456862929
2,agent3,0,-0.1,0.0,-0.24191951616096766,0.05,0.0,0.21841464779914987,0.135083257970537
3,agent4,0,-0.10429416564667522,0.0,-0.13826500000000008,0.06,0.0,0.19389550664400082,0.015736896756783643
4,agent5,0,-0.1604485776805256,0.0,-0.04,0.06,0.0,0.21652943284014708,-0.05712808436674578
5,agent1,1,-0.07,0.0,-0.1,0.13,0.0,0.05615681511737411,0.03046566576244736
6,agent2,1,-0.01,0.0,-0.12,0.31,0.0,0.08046287128527191,-0.16747896958128405
7,agent3,1,-0.1680402084334237,0.0,-0.19740049350123384,0.11,0.0,0.09988966950140327,0.2290746452764377
8,agent4,1,-0.2277533039647586,0.0,-0.11,0.11,0.0,0.10044936985830999,0.177422488517768
9,agent5,1,-0.17048215884384274,0.0,-0.04,0.16,0.0,0.05687406623704225,0.03144678315270763
10,agent1,2,-0.02,0.0,-0.08,0.06,0.0,0.09932902452787659,-0.037245196430569324
11,agent2,2,-0.23612000000000055,0.0,-0.07,0.04,0.0,0.09746480227577933,0.1964360900140546
12,agent3,2,-0.07,0.0,-0.16,0.17,0.0,0.09721371755565084,0.02821417203372436
13,agent4,2,-0.02580925655112504,0.0,-0.1,0.22,0.0,0.09795435783101974,-0.1202291768555892
14,agent5,2,-0.3256350256045044,0.0,-0.04,0.15,0.0,0.09535506906476715,0.17799462670743293
15,agent1,3,-0.05,0.0,-0.09,0.03,0.0,0.0973406588519087,0.04072649794241824
16,agent2,3,-0.21023699802501675,0.0,-0.04730600000000003,0.22,0.0,0.07100239495093352,0.04930317468976043
17,agent3,3,-0.30049968105464697,0.0,-0.17739794349485885,0.07,0.0,0.07368582598904821,0.39889650874394084
18,agent4,3,-0.03,0.0,-0.1,0.04,0.0,0.04815374892644822,0.058183619858269656
19,agent5,3,-0.01,0.0,-0.04,0.33,0.0,0.0752725362280684,-0.255085203735564
20,agent1,4,-0.06,0.0,-0.16,0.05,0.0,0.1485994775611142,0.051278799822436855
21,agent2,4,-0.1,0.0,-0.05,0.21,0.0,0.16985109263269357,-0.1675363187521035
22,agent3,4,-0.02,0.0,-0.19,0.29,0.0,0.13684754884634395,-0.10419376265408484
23,agent4,4,-0.369365909854558,0.0,-0.21,0.03,0.0,0.13415741465251174,0.47260300720386506
24,agent5,4,-0.1271530783499695,0.0,-0.036088333333333354,0.02,0.0,0.13296116497997143,0.01931322116098308
25,agent1,5,-0.052014934981331834,0.0,-0.43,0.05,0.0,0.2968307625916855,0.1710782493521807
