,Time Period,Avg Price (c/kwh)
0,0,103.34700492276625
1,1,103.34700524319118
2,2,103.34699262517988
3,3,103.34700021427294
4,4,103.34699380504533
5,5,103.34700645877336
6,6,103.3470060635336
7,7,286.0623911939672
8,8,145.03557723296564
9,9,190.28221568845362
10,10,212.82998114881892
11,11,146.46331942594233
12,12,146.44843162993308
13,13,146.46599875
14,14,146.46600750000002
15,15,146.4660019987846
16,16,146.46331709962362
17,17,146.46036096474512
18,18,174.35816979723683
19,19,211.49405009798247
20,20,210.24800867126058
21,21,146.4660070011704
22,22,146.4633521482587
23,23,126.22106631218001
