,Time Period,Avg Price (c/kwh)
0,0,96.71399562206317
1,1,96.71221560023835
2,2,96.71400613214229
3,3,96.71399845386783
4,4,96.71400810742156
5,5,95.63064691711006
6,6,96.71399443364174
7,7,155.40660577417654
8,8,155.41199875000004
9,9,155.40997249965974
10,10,106.99048638894153
11,11,122.93999874999999
12,12,122.93999999999998
13,13,122.94
14,14,122.94
15,15,110.88269635337747
16,16,120.30959288880763
17,17,122.93999750000002
18,18,155.40691304704376
19,19,155.41199999999998
20,20,155.41025801075267
21,21,122.93999977982106
22,22,122.94
23,23,122.93801712820414
