,Time Period,Avg Price (c/kwh)
0,0,103.3470014950441
1,1,103.34700204023046
2,2,103.34699521515387
3,3,103.34700899248087
4,4,103.34699510735521
5,5,103.34699529861797
6,6,103.34699654801132
7,7,182.6115318910609
8,8,122.7911174043643
9,9,166.4010575018122
10,10,106.96953051569744
11,11,104.93474946093005
12,12,118.56379883822254
13,13,146.46477018326692
14,14,146.46600100219726
15,15,134.1557566238274
16,16,146.46599999999998
17,17,146.46599965981778
18,18,184.07896129003902
19,19,220.09903678998123
20,20,163.36870548989643
21,21,146.4644590039711
22,22,146.4526400933206
23,23,123.66836126549427
