,Time Period,Avg Price (c/kwh)
0,0,96.71402464026811
1,1,96.7139622036354
2,2,96.5855497337499
3,3,96.71399488900866
4,4,96.25376083149936
5,5,96.71402435752884
6,6,96.71404572916241
7,7,155.41200000000003
8,8,155.4119
9,9,155.41201420335724
10,10,107.056335840044
11,11,122.93997000000002
12,12,122.94002000000002
13,13,122.94002000000002
14,14,122.93984
15,15,122.94064
16,16,122.94000000000003
17,17,122.93997174792804
18,18,155.412
19,19,155.411999828528
20,20,155.41199999175225
21,21,122.93984
22,22,122.94012215847347
23,23,122.9402
