,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.24993616437479238,-8.539835505416704e-11,-0.06999997783064803,0.0,0.0,0.4724947044913893,-0.12631611090760891
1,agent2,0,-0.4105753360056596,0.0,-0.04,0.08,0.0,0.4726397047877995,-0.05939855601520606
2,agent3,0,-0.5145802529981929,0.0,-0.04,0.02,0.0,0.4825866610191797,0.09191453898059025
3,agent4,0,-0.585570100048482,0.0,-0.14,0.02,0.0,0.4830759753764251,0.2979028344727283
4,agent5,0,-0.5147138124951853,0.0,-0.04,0.09,0.0,0.4846548030948268,0.03833968265025546
5,agent1,1,-0.6068043408580983,0.0,-0.07,0.23,0.0,0.025358443769262218,0.5066222462527372
6,agent2,1,-0.4351336993093681,0.0,-0.04,0.4,0.0,0.026430412495665412,0.12871087730806693
7,agent3,1,-0.26515200413089746,0.0,-0.04,0.47,0.0,0.026190445207965707,-0.037383027356677145
8,agent4,1,-0.405150963240387,0.0,-0.09,0.57,0.0,0.028714547217736364,0.11367749223397962
9,agent5,1,-0.29938157407896776,0.0,-0.04,0.49,0.0,0.024868389326541784,-0.08258973299472835
10,agent1,2,-0.17139527450467704,0.0,-0.14,0.58,0.0,0.0,-0.08601310923972266
11,agent2,2,-0.30073065602611926,0.0,-0.15,0.41,0.0,0.0,0.18482512239861268
12,agent3,2,-0.28017311574562936,0.0,-0.04,0.28,0.0,0.0,0.12038670085724623
13,agent4,2,-0.4136008872712245,0.0,-0.09,0.38,0.0,0.0,0.22767292094792135
14,agent5,2,-0.34076380070431284,0.0,-0.03,0.29,0.0,0.0,0.16393031338746997
15,agent1,3,-0.49896843408293756,0.0,-0.11,0.22,0.0,0.20286038121619526,0.28184461473817446
16,agent2,3,-0.5782686036169585,0.0,-0.16,0.31,0.0,0.20497912173156713,0.37762922570506874
17,agent3,3,-0.2871542569148611,0.0,-0.05,0.31,0.0,0.20021701202392267,-0.08183490189169484
18,agent4,3,-0.3575113575113577,0.0,-0.09,0.43,0.0,0.2056462007144007,-0.03471782240069374
19,agent5,3,-0.47749708266313456,0.0,-0.04,0.36,0.0,0.2056790883459479,0.05500620316249324
20,agent1,4,-0.4805026504717384,0.0,-0.08,0.48,0.01,0.0,0.24670397395447416
21,agent2,4,-0.16994250825890145,0.0,-0.04,0.54,0.01,0.0,-0.20644943185665507
22,agent3,4,-0.3187573175013199,0.0,-0.04,0.26,0.0,0.0,0.15987850563828898
23,agent4,4,-0.4462272021575394,0.0,-0.2,0.36,0.01,0.0,0.4122537695502434
24,agent5,4,-0.3632513934894138,0.0,-0.04,0.48,0.01,0.0,0.06928282176578307
25,agent1,5,-0.37192514097360296,0.0,-0.07,0.46,0.09,0.10912992321850723,-0.009256892868860056
26,agent2,5,-0.3223355136590995,0.0,-0.16,0.22,0.09,0.10712174069382294,0.24906028685826878
27,agent3,5,-0.5636564583407608,0.0,-0.05,0.33,0.01,0.1083599909366959,0.29417128615001076
28,agent4,5,-0.4153452862127334,0.0,-0.19,0.43,0.06,0.10849296043048617,0.23459700781341922
29,agent5,5,-0.4385743857438572,0.0,-0.04,0.34,0.05,0.10879892467886765,0.140301132665443
30,agent1,6,-0.2884590461378954,0.0,-0.78,0.39,0.18,0.46247110042717626,0.3614280533515883
31,agent2,6,-0.6078660786607865,0.0,-0.67,0.32,0.18,0.45488025621056694,0.6912499580162375
32,agent3,6,-0.41105474319440305,0.0,-1.1,0.56,0.03,0.4635584989211248,0.7901516765103002
33,agent4,6,-0.4358038474750943,0.0,-0.14,0.45,0.13,0.45625307146356125,-0.15019328878214705
34,agent5,6,-0.524468409807712,0.0,-0.14,0.46,0.1,0.46064157003338074,-0.0675943252721612
35,agent1,7,-0.08,0.0,-0.23,0.3,0.26,0.12608258565175018,-0.05662862601309804
36,agent2,7,-0.07,0.0,-1.25,0.56,0.26,0.12609829894736135,0.9367973026399266
37,agent3,7,-0.08,0.0,-0.35,0.42,0.04,0.1259309684885424,0.03171348975258553
38,agent4,7,-0.06,0.0,-1.0,0.44,0.18,0.1260129812458931,0.7063270515861323
39,agent5,7,-0.06,0.0,-0.54,0.48,0.15,0.12591108587498698,0.06537362121996487
