,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.36574096590632776,0.0,-0.07,0.05,0.0,0.5202143501657024,-0.09472210869534754
1,agent2,0,-0.49648867099509675,0.0,-0.14,0.07,0.0,0.5235483897547217,0.09023231383736466
2,agent3,0,-0.5843355822821947,0.0,-0.3,0.03,0.0,0.5189875174274101,0.42603367388395563
3,agent4,0,-0.44157928525572465,0.0,-0.1,0.08,0.0,0.5034134037091401,0.018655925388311956
4,agent5,0,-0.3688533688533693,0.0,-0.04,0.09,0.0,0.5208049806932497,-0.1539005562396326
5,agent1,1,-0.23639203436157724,0.0,-0.09,0.34,0.0,0.04711106095265316,0.05960615036865025
6,agent2,1,-0.46748924425683885,0.0,-0.1,0.49,0.0,0.046868964235182276,0.21208397145739688
7,agent3,1,-0.2684963214020006,0.0,-0.4,0.53,0.0,0.046845345026774704,0.29362463321773324
8,agent4,1,-0.2842147922998983,0.0,-0.09,0.43,0.0,0.04739801697482196,-0.01079907352109151
9,agent5,1,-0.42026330852890664,0.0,-0.04,0.37,0.0,0.04851111850796558,0.14036451499122066
10,agent1,2,-0.5822356710573156,0.0,-0.1,0.25,0.0,0.2260361811643824,0.2859673032350224
11,agent2,2,-0.2749991249868745,0.0,-0.04,0.46,0.0,0.23006067329487223,-0.21143228041456746
12,agent3,2,-0.4500196001568015,0.0,-0.35,0.31,0.0,0.2347714385055275,0.4110904210234002
13,agent4,2,-0.4896095612179812,0.0,-0.12,0.28,0.0,0.23196417557080828,0.2331107832944112
14,agent5,2,-0.41928564464233464,0.0,-0.04,0.41,0.0,0.2334841069510024,-0.030977163495495397
15,agent1,3,-0.42082446194495016,0.0,-0.14,0.59,0.0,0.12327233322977016,0.029397817124478254
16,agent2,3,-0.402885521641412,0.0,-0.04,0.28,0.0,0.12038788864315914,0.12330351508736324
17,agent3,3,-0.2775948087520789,0.0,-0.39,0.43,0.0,0.11950757845100207,0.24842447238396687
18,agent4,3,-0.47084978597737004,0.0,-0.22,0.46,0.0,0.12063299361496671,0.3357673567492229
19,agent5,3,-0.36224176723256296,0.0,-0.04,0.41,0.0,0.11059358524005242,0.0038367015643969993
20,agent1,4,-0.42039070298017944,0.0,-0.12,0.39,0.0,0.1592241465211373,0.08581773561868565
21,agent2,4,-0.40953333333333364,0.0,-0.04,0.4,0.0,0.1587261457767944,0.03267859935325762
22,agent3,4,-0.3371332573348537,0.0,-0.35,0.3,0.0,0.14625762455811286,0.4352825507015563
23,agent4,4,-0.3749490004079965,0.0,-0.1,0.5,0.0,0.151953424275607,-0.015487216072443993
24,agent5,4,-0.5393846995817212,0.0,-0.04,0.37,0.0,0.15552525576951015,0.1774599599572374
25,agent1,5,-0.42417145240463294,0.0,-0.09,0.41,0.03,0.08599308937806671,0.14288994847773848
26,agent2,5,-0.2690695725062866,0.0,-0.29,0.41,0.03,0.08188679074272284,0.3361515016533816
27,agent3,5,-0.2178921789217893,0.0,-0.49,0.31,0.0,0.0796981347221501,0.6595201755036356
28,agent4,5,-0.3282768777614139,0.0,-0.1,0.37,0.02,0.08625851599258086,0.10365111131370716
29,agent5,5,-0.28043428043428026,0.0,-0.04,0.52,0.01,0.0858205068286629,-0.18008489105672396
30,agent1,6,-0.23864977825989883,0.0,-0.96,0.44,0.14,0.7586418999559255,0.3712423863539377
31,agent2,6,-0.5871435476075395,0.0,-0.41,0.26,0.14,0.7400507225141416,0.1867722645498569
32,agent3,6,-0.42801879971077406,0.0,-0.73,0.23,0.02,0.7542923200156586,0.5015804576878099
33,agent4,6,-0.5231157894736843,0.0,-1.26,0.34,0.1,0.7487926596800658,1.141049409225381
34,agent5,6,-0.4668642650858796,0.0,-0.2,0.3,0.08,0.7518510650328264,-0.1296581147925452
35,agent1,7,-0.1,0.0,-0.38,0.25,0.18,0.23393394984170882,-0.013170629330214512
