,Time Period,Avg Price (c/kwh)
0,0,96.71398881170742
1,1,96.71392675824882
2,2,96.71406434332121
3,3,96.71400707724808
4,4,96.71416680225143
5,5,96.71393544855705
6,6,96.71395985019787
7,7,155.41200000000003
8,8,155.41200000000003
9,9,155.412
10,10,110.54410049357249
11,11,103.50155154432773
12,12,122.93999904071309
13,13,122.93987844245812
14,14,122.93993981548863
15,15,122.94
16,16,122.93988000000002
17,17,122.93984000000002
18,18,155.412
19,19,155.41135962890834
20,20,155.41200000000003
21,21,122.94005999999999
22,22,122.94005710264915
23,23,122.93996
