,Time Period,Avg Price (c/kwh)
0,0,103.34700152529521
1,1,100.91438941303257
2,2,103.34699492089716
3,3,103.34699068577555
4,4,103.34699395135674
5,5,103.3469985990784
6,6,103.3469968197358
7,7,178.9995827362386
8,8,183.84644581714036
9,9,169.64963321884414
10,10,149.63315426004266
11,11,104.82478202632362
12,12,115.84915413938499
13,13,146.46242671229675
14,14,146.46599986073298
15,15,146.46599999999998
16,16,146.46599750000001
17,17,135.48150577050626
18,18,357.528681307057
19,19,357.5407049999999
20,20,183.14605850883865
21,21,146.45155288270516
22,22,146.46600801538634
23,23,146.46335054347014
