,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.5602840328777787,0.0,-0.11,0.06,0.0,0.6776656962780784,0.012946420094693656
1,agent2,0,-0.6353899670450391,0.0,-0.04,0.04,0.0,0.6125566297375697,0.06146219236284685
2,agent3,0,-0.7673992673992673,0.0,-0.23,0.04,0.0,0.6625507920164062,0.4038903203633721
3,agent4,0,-0.6623158438873091,0.0,-0.09,0.01,0.0,0.6842520671108022,0.11990258798603443
4,agent5,0,-0.3727333781061111,0.0,-0.04,0.06,0.0,0.6609235501994548,-0.27444277622122026
5,agent1,1,-0.5576228597289007,0.0,-0.1,0.55,0.0,0.0,0.2724045681734629
6,agent2,1,-0.47825842097091387,0.0,-0.05,0.61,0.0,0.0,0.08368564279357323
7,agent3,1,-0.33878131603014855,0.0,-0.16,0.76,0.0,0.0,-0.007255711834700418
8,agent4,1,-0.2912820509861365,0.0,-0.22,0.63,0.0,0.0,0.02077603404620902
9,agent5,1,-0.6743451505803579,0.0,-0.04,0.34,0.0,0.0,0.48332334807111005
10,agent1,2,-0.42923857605871474,0.0,-0.08,0.55,0.0,0.0,0.1353332267434349
11,agent2,2,-0.18893937473357303,0.0,-0.14,0.47,0.0,0.0,0.06110356290718058
12,agent3,2,-0.33797133802470203,0.0,-0.17,0.32,0.0,0.0,0.31989198739510677
13,agent4,2,-0.5624686968639255,0.0,-0.1,0.3,0.0,0.0,0.45620167441766774
14,agent5,2,-0.2877791373309365,0.0,-0.04,0.68,0.0,0.0,-0.22192581647997725
15,agent1,3,-0.37740612180498617,0.0,-0.09,0.4,0.0,0.14577843035447507,0.048089005271952215
16,agent2,3,-0.24892185613248197,0.0,-0.04,0.2,0.0,0.14180825035069827,0.02249909425177487
17,agent3,3,-0.47456925739222067,0.0,-0.28,0.33,0.0,0.14455991415853636,0.42841327634942006
18,agent4,3,-0.32508955635161224,0.0,-0.09,0.55,0.0,0.15226263120839506,-0.16880463730477574
19,agent5,3,-0.5348368596450435,0.0,-0.04,0.29,0.0,0.1464515393053104,0.2241611403587322
20,agent1,4,-0.4800017110835438,0.0,-0.11,0.39,0.0,0.12630213846647337,0.21765334035673506
21,agent2,4,-0.3891562640998648,0.0,-0.12,0.25,0.0,0.12942335356318146,0.2300036895270297
