,Time Period,Avg Price (c/kwh)
0,0,96.7139738432959
1,1,92.79618707026103
2,2,96.00131994217517
3,3,96.71403275957292
4,4,96.71399106582668
5,5,96.71392946251889
6,6,96.71398172007859
7,7,155.412
8,8,155.412
9,9,155.412
10,10,155.41199937415112
11,11,103.78564535500804
12,12,122.94010000000002
13,13,122.94010000000002
14,14,122.94004000000001
15,15,122.93998000000002
16,16,122.93983917243385
17,17,122.94
18,18,155.4122393318148
19,19,155.4116
20,20,155.41210000000004
21,21,122.94
22,22,122.93995999999999
23,23,122.93987953778075
