,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.14114152892562026,0.0,-0.10913250000000002,0.03,0.0,0.21956398727638798,0.03641527614003188
1,agent2,0,-0.2649083098526491,0.0,-0.05,0.06,0.0,0.21830106737468963,0.06082947647923864
2,agent3,0,-0.2516013478643638,0.0,-0.03,0.09,0.0,0.2177779087396544,0.006320111529611917
3,agent4,0,-0.12917741645167125,0.0,-0.12,0.07,0.0,0.21930053635007657,-0.0069114312686401475
4,agent5,0,-0.27954274171334176,0.0,-0.04,0.07,0.0,0.22036303624646655,0.06181606293802268
5,agent1,1,-0.29081167350661274,0.0,-0.08,0.12,0.0,0.033643939189776206,0.25821641515665006
6,agent2,1,-0.1644084934277048,0.0,-0.04913250000000002,0.26,0.0,0.0566811395360762,-0.022467029441343475
7,agent3,1,-0.22682018543851656,0.0,-0.03,0.26,0.0,0.08267205320497872,-0.0024684793345717965
8,agent4,1,-0.09,0.0,-0.10826500000000006,0.12,0.0,0.058181935235935206,0.06921261332280255
9,agent5,1,-0.22132500000000055,0.0,-0.04,0.25,0.0,0.05950651329419929,0.023729290328543533
10,agent1,2,0.0,0.0,-0.1075874583716367,0.29,0.0,0.0,-0.08646027441721946
11,agent2,2,-0.11833753570757258,0.0,-0.049498481861745824,0.17,0.0,0.0,0.05288143941443956
12,agent3,2,-0.09,0.0,-0.03758815669855875,0.22,0.0,0.0,-0.025922873297238608
13,agent4,2,-0.3582441993737081,0.0,-0.1,0.09,0.0,0.0,0.4255800774538129
14,agent5,2,-0.13090231885813877,0.0,-0.04,0.24,0.0,0.0,0.0059404712533286524
15,agent1,3,-0.07076183292476046,0.0,-0.09,0.02,0.0,0.028109799996243023,0.12682005513542882
16,agent2,3,-0.05,0.0,-0.1591325,0.11,0.0,0.028764463848097888,0.16388766754404768
17,agent3,3,-0.04,0.0,-0.04,0.1,0.0,0.030031940220551792,-0.019683176351178076
18,agent4,3,-0.20437142857142884,0.0,-0.12,0.32,0.0,0.02791865494321835,0.06618167541013832
