,Time Period,Avg Price (c/kwh)
0,0,103.34699420762394
1,1,103.34699876507312
2,2,103.20306785257196
3,3,103.34700995770652
4,4,103.3470007909516
5,5,103.34700694904801
6,6,103.34700395055503
7,7,159.78057482678594
8,8,271.0518636067534
9,9,151.0904122699957
10,10,153.0817019543028
11,11,146.46319544146766
12,12,146.46465099640568
13,13,146.466
14,14,146.46211351558495
15,15,146.44941716558486
16,16,123.29805901512474
17,17,146.4645093137212
18,18,225.9812600473045
19,19,189.18271405195424
20,20,197.17390039875943
21,21,146.46599750000001
22,22,146.46599997558593
23,23,133.0752223577394
