,Time Period,Avg Price (c/kwh)
0,0,87.42727862891108
1,1,92.31382175862107
2,2,97.63786598140895
3,3,98.91693922865228
4,4,103.18687793004379
5,5,103.34700275245292
6,6,103.34699935603093
7,7,269.79003204401573
8,8,208.27234463362134
9,9,205.347887805575
10,10,142.7099152048712
11,11,146.46599415452033
12,12,146.46599972474237
13,13,146.4641351485565
14,14,146.46599874999998
15,15,146.466
16,16,128.68456736044266
17,17,146.46366107386928
18,18,226.05812001337452
19,19,225.95700732321356
20,20,213.57396771021092
21,21,146.465972000976
22,22,146.4646162092714
23,23,119.5908445198117
