,Agent#,Time Period,Battery Charge (kWh),Grid Export (kWh),Grid Household Load (kWh),Battery Discharge (kWh),Solar Output (kWh),Grid Import (kWh),Social Welfare (R)
0,agent1,0,-0.2812296151337249,0.0,-0.09,0.02,0.0,0.19780508587570772,0.17656592100740665
1,agent2,0,0.0,0.0,-0.04608833333333336,0.04,0.0,0.20918510326049133,-0.1957144065399028
2,agent3,0,-0.21868521614150327,-5.806910507999419e-12,-0.03999999956573586,0.0,0.0,0.20965235465064372,0.05919736728734058
3,agent4,0,-0.12296096298796386,0.0,-0.11,0.09,0.0,0.20865290177570134,-0.03413600710837692
4,agent5,0,-0.2884286203355021,0.0,-0.04,0.04,0.0,0.22199370228056592,0.09604454592845094
5,agent1,1,-0.18540076652461937,0.0,-0.1,0.28,0.0,0.0,0.08811928922210041
6,agent2,1,-0.08024140422457396,0.0,-0.04,0.01,0.0,0.005308882790398317,0.1123228747106341
7,agent3,1,-0.18371634312114704,0.0,-0.03,0.2,0.0,0.0,0.06813092307315714
8,agent4,1,-0.05,0.0,-0.11,0.11,0.0,0.026315236040869106,0.05907841300213254
9,agent5,1,-0.13108521620869798,0.0,-0.03,0.29,0.0,0.015816030865388575,-0.059267425584778044
10,agent1,2,-0.08,0.0,-0.1,0.17,0.0,0.11437739824311619,-0.03970507357601252
11,agent2,2,-0.267859017885269,0.0,-0.06,0.08,0.0,0.1006637722717173,0.18799533765480997
12,agent3,2,-0.17958179581795825,0.0,-0.03,0.2,0.0,0.09020855098720235,-0.02018181336359831
13,agent4,2,-0.04,0.0,-0.10913250000000002,0.05,0.0,0.10406105841764951,0.03246657533977174
14,agent5,2,-0.24444444444444485,0.0,-0.04,0.14,0.0,0.10176625582097645,0.10507232498309999
15,agent1,3,-0.1748698445519332,0.0,-0.08730600000000002,0.09,0.0,0.19707274681046424,0.022537954521312773
16,agent2,3,-0.28057026049583356,0.0,-0.12,0.24,0.0,0.19856225563630747,0.03967980278810114
17,agent3,3,-0.05,0.0,-0.5747971260143703,0.17,0.0,0.20003138623363237,0.4342206766525316
18,agent4,3,-0.09,0.0,-0.1482650000000001,0.05,0.0,0.18032766247513415,0.03416527957016117
19,agent5,3,-0.19839316734221224,0.0,-0.04,0.22,0.0,0.21820218787941278,-0.13228114024315638
20,agent1,4,-0.01,0.0,-0.14,0.17,0.0,0.1096269974500497,-0.0851647891211938
21,agent2,4,0.0,0.0,-0.05913250000000003,0.29,0.0,0.12385727605209557,-0.26454204002601406
22,agent3,4,-0.30381662064530834,0.0,-0.1482650000000001,0.06,0.0,0.11149691364336772,0.3404610752774206
23,agent4,4,-0.16727993206906364,0.0,-0.27566250000000014,0.09,0.0,0.09841684531059433,0.3155355747520432
24,agent5,4,-0.2418434782608699,0.0,-0.04,0.22,0.0,0.1124051628875409,0.012048998162900525
25,agent1,5,-0.2732035310617936,0.0,-0.29566250000000016,0.02,0.0,0.18581802628508226,0.4256797789120811
26,agent2,5,-0.14203846153846203,0.0,-0.1,0.02,0.0,0.19997427128791395,0.03843309997877278
27,agent3,5,-0.07046525736151996,0.0,-0.18,0.3,0.0,0.1998183059293774,-0.09699969216428689
28,agent4,5,-0.04,0.0,-0.34740086850217133,0.16,0.0,0.18877915602575474,0.15231241954123803
29,agent5,5,-0.18861766809728261,0.0,-0.04,0.24,0.0,0.1632066150201205,-0.10438721917024799
30,agent1,6,-0.01,0.0,-1.75265,0.25,0.07,0.638463309604719,1.2712175693917669
31,agent2,6,-0.20626134832776963,0.0,-0.07,0.12,0.07,0.6335890904223751,-0.4533495168942395
32,agent3,6,-0.17173010514879986,0.0,-0.7,0.07,0.05,0.6418175850616366,0.21225585631236815
33,agent4,6,-0.06,0.0,-0.53,0.05,0.01,0.6566049101815048,-0.05048263027028696
34,agent5,6,-0.07374545454545481,0.0,-0.54,0.18,0.04,0.6338162972318566,-0.10787311235348918
35,agent1,7,-0.04,0.0,-1.56,0.03,0.13,0.0,1.4923943105058948
36,agent2,7,-0.07,0.0,-0.48,0.22,0.13,0.0,-0.9872972280292033
37,agent3,7,-0.03,0.0,-0.09,0.17,0.09,0.0,-1.421388452837567
38,agent4,7,-0.06,0.0,-0.97,0.06,0.02,0.0,-0.11731034919958505
39,agent5,7,-0.08,0.0,-0.28,0.08,0.07,0.0,-1.0678088900269782
40,agent1,8,-0.09,0.0,-0.34,0.04,0.18,0.0,0.2164482731094487
41,agent2,8,-0.07,0.0,-0.24,0.07,0.18,0.0,0.0714465297864095
42,agent3,8,-0.05,0.0,-0.03,0.04,0.13,0.0,-0.1710088900167987
43,agent4,8,-0.07,0.0,-0.71,0.06,0.03,0.0,0.8982008505803919
44,agent5,8,0.0,0.0,-0.09,0.08,0.11,0.0,-0.16772668615740327
45,agent1,9,-0.07,0.0,-0.1,0.09,0.22,0.0,0.12076124553879755
46,agent2,9,0.0,0.0,-0.04,0.07,0.22,0.0,-0.017290856380794695
