,Time Period,Avg Price (c/kwh)
0,0,103.34699651096322
1,1,103.34614606943917
2,2,103.3470016999545
3,3,103.34699944366612
4,4,103.34699356552026
5,5,103.34700668928434
6,6,103.34699710733291
7,7,265.4395703428405
8,8,147.3408827275142
9,9,111.84625013587974
10,10,109.22825021133742
11,11,121.3642295690517
12,12,139.02641817801893
13,13,125.19310107917076
14,14,138.67683674055198
15,15,146.466
16,16,146.46599987169668
17,17,142.95167708016868
18,18,285.0476745054012
19,19,238.3869928133353
20,20,200.63641186933654
21,21,146.46075749461994
22,22,134.68527638361283
23,23,123.21945156510654
