Electricity.Timestep,Time,Sum,[kWh],Proper kWh
3060,2016/07/03,03:00,0.0922284,0.0922284
3120,2016/07/03,04:00,0.162665104,0.162665104
3180,2016/07/03,05:00,0.256100417,0.256100417
3240,2016/07/03,06:00,"128,028,605,659,691",1.280286057
3300,2016/07/03,07:00,"103,519,765,644,105",1.035197656
3360,2016/07/03,08:00,0.535352918,0.535352918
3420,2016/07/03,09:00,0.762327979,0.762327979
3480,2016/07/03,10:00,"223,740,943,110,808",2.237409431
3540,2016/07/03,11:00,0.391940947,0.391940947
3600,2016/07/03,12:00,0.239186662,0.239186662
3660,2016/07/03,13:00,"179,109,632,937,642",1.791096329
3720,2016/07/03,14:00,"132,156,032,556,071",1.321560326
3780,2016/07/03,15:00,0.495076652,0.495076652
3840,2016/07/03,16:00,0.511494535,0.511494535
3900,2016/07/03,17:00,0.630010455,0.630010455
3960,2016/07/03,18:00,0.144910657,0.144910657
4020,2016/07/03,19:00,"236,017,587,174,306",2.360175872
4080,2016/07/03,20:00,"252,180,717,560,093",2.521807176
4140,2016/07/03,21:00,"256,645,850,664,008",2.566458507
4200,2016/07/03,22:00,0.233984165,0.233984165
4260,2016/07/03,23:00,0.096868434,0.096868434
4320,2016/07/04,00:00,0.087634061,0.087634061
4380,2016/07/04,01:00,0.213092844,0.213092844
4440,2016/07/04,02:00,0.100380453,0.100380453
4500,2016/07/04,03:00,0.092020469,0.092020469
4560,2016/07/04,04:00,0.088167783,0.088167783
4620,2016/07/04,05:00,0.104854978,0.104854978
4680,2016/07/04,06:00,0.210507152,0.210507152
4740,2016/07/04,07:00,"176,420,013,867,736",1.764200139
4800,2016/07/04,08:00,0.672212347,0.672212347
4860,2016/07/04,09:00,"113,142,081,014,017",1.13142081
4920,2016/07/04,10:00,0.977559844,0.977559844
4980,2016/07/04,11:00,0.351242991,0.351242991
5040,2016/07/04,12:00,0.285879948,0.285879948
5100,2016/07/04,13:00,"105,528,855,314,737",1.055288553
5160,2016/07/04,14:00,0.725131998,0.725131998
5220,2016/07/04,15:00,0.232794222,0.232794222
5280,2016/07/04,16:00,0.24313279,0.24313279
5340,2016/07/04,17:00,0.288237054,0.288237054
5400,2016/07/04,18:00,0.427414831,0.427414831
5460,2016/07/04,19:00,0.171316761,0.171316761
5520,2016/07/04,20:00,0.252859915,0.252859915
5580,2016/07/04,21:00,0.266680138,0.266680138
5640,2016/07/04,22:00,0.228597242,0.228597242
5700,2016/07/04,23:00,0.09246162,0.09246162
5760,2016/07/05,00:00,0.091834882,0.091834882
5820,2016/07/05,01:00,0.086347318,0.086347318
5880,2016/07/05,02:00,0.11604105,0.11604105
5940,2016/07/05,03:00,0.209651035,0.209651035
6000,2016/07/05,04:00,0.087164247,0.087164247
6060,2016/07/05,05:00,0.093889121,0.093889121
6120,2016/07/05,06:00,"124,365,228,033,433",1.24365228
6180,2016/07/05,07:00,"111,446,543,516,415",1.114465435
6240,2016/07/05,08:00,"12,853,447,483,741",0.128534475
6300,2016/07/05,09:00,0.690727148,0.690727148
6360,2016/07/05,10:00,0.175722006,0.175722006
6420,2016/07/05,11:00,0.221619271,0.221619271
6480,2016/07/05,12:00,0.921938587,0.921938587
6540,2016/07/05,13:00,0.32500951,0.32500951
6600,2016/07/05,14:00,0.359222904,0.359222904
6660,2016/07/05,15:00,0.193567964,0.193567964
6720,2016/07/05,16:00,0.136975599,0.136975599
6780,2016/07/05,17:00,0.157888502,0.157888502
6840,2016/07/05,18:00,"104,090,723,750,655",1.040907238
6900,2016/07/05,19:00,0.247827182,0.247827182
6960,2016/07/05,20:00,0.234304078,0.234304078
7020,2016/07/05,21:00,0.258942982,0.258942982
7080,2016/07/05,22:00,0.278267908,0.278267908
7140,2016/07/05,23:00,0.086678159,0.086678159
7200,2016/07/06,00:00,0.096664653,0.096664653
7260,2016/07/06,01:00,0.187426932,0.187426932
7320,2016/07/06,02:00,0.13526257,0.13526257
7380,2016/07/06,03:00,0.089958282,0.089958282
7440,2016/07/06,04:00,0.125635967,0.125635967
7500,2016/07/06,05:00,0.133503333,0.133503333
7560,2016/07/06,06:00,0.201932137,0.201932137
7620,2016/07/06,07:00,0.59093183,0.59093183
7680,2016/07/06,08:00,"159,881,085,062,455",1.598810851
7740,2016/07/06,09:00,"154,961,102,786,373",1.549611028
7800,2016/07/06,10:00,0.896935991,0.896935991
7860,2016/07/06,11:00,0.390481412,0.390481412
7920,2016/07/06,12:00,0.189572385,0.189572385
7980,2016/07/06,13:00,0.200576825,0.200576825
8040,2016/07/06,14:00,"204,867,928,234,359",2.048679282
8100,2016/07/06,15:00,0.446670979,0.446670979
8160,2016/07/06,16:00,0.730499051,0.730499051
8220,2016/07/06,17:00,"104,416,131,501,537",1.044161315
8280,2016/07/06,18:00,0.247646721,0.247646721
8340,2016/07/06,19:00,0.24376068,0.24376068
8400,2016/07/06,20:00,0.218693808,0.218693808
8460,2016/07/06,21:00,0.24421104,0.24421104
8520,2016/07/06,22:00,0.266669612,0.266669612
8580,2016/07/06,23:00,0.097356374,0.097356374
8640,2016/07/07,00:00,0.088951524,0.088951524
8700,2016/07/07,01:00,0.08907424,0.08907424
8760,2016/07/07,02:00,0.132080999,0.132080999
8820,2016/07/07,03:00,0.167152054,0.167152054
8880,2016/07/07,04:00,0.093016682,0.093016682
8940,2016/07/07,05:00,0.08747235,0.08747235
9000,2016/07/07,06:00,0.088086404,0.088086404
9060,2016/07/07,07:00,"141,928,202,665,917",1.419282027
9120,2016/07/07,08:00,0.406740183,0.406740183
9180,2016/07/07,09:00,"110,925,903,260,674",1.109259033
9240,2016/07/07,10:00,0.587086848,0.587086848
9300,2016/07/07,11:00,0.271754565,0.271754565
9360,2016/07/07,12:00,0.887496953,0.887496953
9420,2016/07/07,13:00,"393,523,412,591,103",3.935234126
9480,2016/07/07,14:00,"255,280,501,616,616",2.552805016
9540,2016/07/07,15:00,0.196987758,0.196987758
9600,2016/07/07,16:00,0.221197176,0.221197176
9660,2016/07/07,17:00,0.289603386,0.289603386
9720,2016/07/07,18:00,"173,235,776,425,988",1.732357764
9780,2016/07/07,19:00,"200,549,567,372,689",2.005495674
9840,2016/07/07,20:00,0.299149381,0.299149381
9900,2016/07/07,21:00,0.198640172,0.198640172
9960,2016/07/07,22:00,0.209121991,0.209121991
10020,2016/07/07,23:00,0.203533563,0.203533563
