Electricity.Timestep,Time,Sum,[kWh],Proper kWh
0,2016/07/01,00:00,0.180198742,0.180198742
60,2016/07/01,01:00,0.108747671,0.108747671
120,2016/07/01,02:00,0.086463564,0.086463564
180,2016/07/01,03:00,0.104226845,0.104226845
240,2016/07/01,04:00,0.335344252,0.335344252
300,2016/07/01,05:00,0.193214037,0.193214037
360,2016/07/01,06:00,0.131552475,0.131552475
420,2016/07/01,07:00,0.982110496,0.982110496
480,2016/07/01,08:00,0.274581293,0.274581293
540,2016/07/01,09:00,"213,555,891,149,353",2.135558911
600,2016/07/01,10:00,0.755123344,0.755123344
660,2016/07/01,11:00,0.451314855,0.451314855
720,2016/07/01,12:00,0.12728132,0.12728132
780,2016/07/01,13:00,0.199055431,0.199055431
840,2016/07/01,14:00,0.360844995,0.360844995
900,2016/07/01,15:00,0.51881551,0.51881551
960,2016/07/01,16:00,0.132490593,0.132490593
1020,2016/07/01,17:00,0.25573435,0.25573435
1080,2016/07/01,18:00,0.525488834,0.525488834
1140,2016/07/01,19:00,0.36277621,0.36277621
1200,2016/07/01,20:00,0.260772569,0.260772569
1260,2016/07/01,21:00,0.228095836,0.228095836
1320,2016/07/01,22:00,0.217864226,0.217864226
1380,2016/07/01,23:00,0.174556915,0.174556915
1440,2016/07/02,00:00,0.141029832,0.141029832
1500,2016/07/02,01:00,0.088910348,0.088910348
1560,2016/07/02,02:00,0.089956614,0.089956614
1620,2016/07/02,03:00,0.088081534,0.088081534
1680,2016/07/02,04:00,0.187828572,0.187828572
1740,2016/07/02,05:00,0.177852462,0.177852462
1800,2016/07/02,06:00,0.134834126,0.134834126
1860,2016/07/02,07:00,"104,921,651,394,856",1.049216514
1920,2016/07/02,08:00,"126,977,419,477,564",1.269774195
1980,2016/07/02,09:00,"182,081,651,237,128",1.820816512
2040,2016/07/02,10:00,"11,638,355,464,529",0.116383555
2100,2016/07/02,11:00,"117,062,455,381,878",1.170624554
2160,2016/07/02,12:00,0.6591354,0.6591354
2220,2016/07/02,13:00,0.339716301,0.339716301
2280,2016/07/02,14:00,"111,952,517,779,525",1.119525178
2340,2016/07/02,15:00,0.283678623,0.283678623
2400,2016/07/02,16:00,0.166265223,0.166265223
2460,2016/07/02,17:00,0.215117583,0.215117583
2520,2016/07/02,18:00,0.167854877,0.167854877
2580,2016/07/02,19:00,0.638459726,0.638459726
2640,2016/07/02,20:00,0.383627869,0.383627869
2700,2016/07/02,21:00,0.329126466,0.329126466
2760,2016/07/02,22:00,0.181667874,0.181667874
2820,2016/07/02,23:00,0.092261558,0.092261558
2880,2016/07/03,00:00,0.209214174,0.209214174
2940,2016/07/03,01:00,0.092085638,0.092085638
3000,2016/07/03,02:00,0.09261695,0.09261695
