,Time Period,Avg Price (c/kwh)
0,0,96.71400069461926
1,1,94.64579242057427
2,2,96.71399613249633
3,3,96.71400163501905
4,4,96.71399569354641
5,5,96.71399622432659
6,6,96.71399163398918
7,7,155.412
8,8,155.41041902351733
9,9,145.99832589658195
10,10,155.41197000033452
11,11,122.94000605840539
12,12,114.01558386447014
13,13,122.94
14,14,122.93999875000003
15,15,122.93568324679813
16,16,122.94000375
17,17,122.94
18,18,132.68920589122519
19,19,155.4119999629791
20,20,155.41199749999998
21,21,122.94
22,22,122.93999350190784
23,23,122.93999875000002
