,Time Period,Avg Price (c/kwh)
0,0,91.93265555665023
1,1,96.71398756787481
2,2,96.71399978998335
3,3,96.7139904095418
4,4,96.71399518387409
5,5,96.71399411604769
6,6,96.71400293573967
7,7,106.11927843328759
8,8,108.96237143369967
9,9,155.3968918905732
10,10,109.7733283701275
11,11,119.0379659513177
12,12,122.94
13,13,106.96320096385364
14,14,122.93999737952264
15,15,122.9388695681283
16,16,115.40107670366027
17,17,122.93798959256381
18,18,155.41200123534333
19,19,155.40974952358897
20,20,155.4119979999263
21,21,122.93999993087519
22,22,122.94001000000002
23,23,122.93999332924564
